,Store,Dept,Date,Weekly_Sales,IsHoliday
117,1,1,2012-05-04,17147.44,False
118,1,1,2012-05-11,18164.2,False
119,1,1,2012-05-18,18517.79,False
120,1,1,2012-05-25,16963.55,False
121,1,1,2012-06-01,16065.49,False
122,1,1,2012-06-08,17666.0,False
123,1,1,2012-06-15,17558.82,False
124,1,1,2012-06-22,16633.41,False
125,1,1,2012-06-29,15722.82,False
260,1,2,2012-05-04,50501.3,False
261,1,2,2012-05-11,46717.76,False
262,1,2,2012-05-18,44411.23,False
263,1,2,2012-05-25,45817.07,False
264,1,2,2012-06-01,47425.29,False
265,1,2,2012-06-08,49439.58,False
266,1,2,2012-06-15,46637.48,False
267,1,2,2012-06-22,46075.0,False
268,1,2,2012-06-29,47629.14,False
403,1,3,2012-05-04,10655.35,False
404,1,3,2012-05-11,10342.72,False
405,1,3,2012-05-18,8609.82,False
406,1,3,2012-05-25,8345.33,False
407,1,3,2012-06-01,7175.77,False
408,1,3,2012-06-08,8614.64,False
409,1,3,2012-06-15,8016.26,False
410,1,3,2012-06-22,7301.41,False
411,1,3,2012-06-29,7577.59,False
546,1,4,2012-05-04,41897.55,False
547,1,4,2012-05-11,35840.06,False
548,1,4,2012-05-18,34536.29,False
549,1,4,2012-05-25,38270.34,False
550,1,4,2012-06-01,41566.55,False
551,1,4,2012-06-08,41124.27,False
552,1,4,2012-06-15,39019.74,False
553,1,4,2012-06-22,37400.31,False
554,1,4,2012-06-29,39758.77,False
689,1,5,2012-05-04,18953.07,False
690,1,5,2012-05-11,17277.63,False
691,1,5,2012-05-18,17955.73,False
692,1,5,2012-05-25,18625.67,False
693,1,5,2012-06-01,17233.25,False
694,1,5,2012-06-08,24752.99,False
695,1,5,2012-06-15,21376.63,False
696,1,5,2012-06-22,24337.24,False
697,1,5,2012-06-29,20233.9,False
832,1,6,2012-05-04,4658.18,False
833,1,6,2012-05-11,3574.83,False
834,1,6,2012-05-18,6030.81,False
835,1,6,2012-05-25,5131.26,False
836,1,6,2012-06-01,3249.75,False
837,1,6,2012-06-08,4888.46,False
838,1,6,2012-06-15,4087.58,False
839,1,6,2012-06-22,4870.31,False
840,1,6,2012-06-29,4774.5,False
975,1,7,2012-05-04,22956.83,False
976,1,7,2012-05-11,23036.8,False
977,1,7,2012-05-18,19180.11,False
978,1,7,2012-05-25,28671.98,False
979,1,7,2012-06-01,31568.92,False
980,1,7,2012-06-08,30052.56,False
981,1,7,2012-06-15,26249.22,False
982,1,7,2012-06-22,24777.12,False
983,1,7,2012-06-29,24077.39,False
1118,1,8,2012-05-04,41589.1,False
1119,1,8,2012-05-11,37702.53,False
1120,1,8,2012-05-18,37817.25,False
1121,1,8,2012-05-25,39067.0,False
1122,1,8,2012-06-01,41039.74,False
1123,1,8,2012-06-08,40236.23,False
1124,1,8,2012-06-15,38163.76,False
1125,1,8,2012-06-22,37693.88,False
1126,1,8,2012-06-29,37647.44,False
1261,1,9,2012-05-04,31552.3,False
1262,1,9,2012-05-11,28043.48,False
1263,1,9,2012-05-18,26160.37,False
1264,1,9,2012-05-25,29338.57,False
1265,1,9,2012-06-01,35001.66,False
1266,1,9,2012-06-08,30307.11,False
1267,1,9,2012-06-15,30249.01,False
1268,1,9,2012-06-22,28249.43,False
1269,1,9,2012-06-29,25081.23,False
1404,1,10,2012-05-04,35800.66,False
1405,1,10,2012-05-11,32271.72,False
1406,1,10,2012-05-18,30339.17,False
1407,1,10,2012-05-25,34203.35,False
1408,1,10,2012-06-01,37294.14,False
1409,1,10,2012-06-08,36155.27,False
1410,1,10,2012-06-15,32578.62,False
1411,1,10,2012-06-22,32851.06,False
1412,1,10,2012-06-29,33135.34,False
1547,1,11,2012-05-04,31670.38,False
1548,1,11,2012-05-11,28842.32,False
1549,1,11,2012-05-18,23346.03,False
1550,1,11,2012-05-25,26925.54,False
1551,1,11,2012-06-01,32406.68,False
1552,1,11,2012-06-08,35861.22,False
1553,1,11,2012-06-15,27802.84,False
1554,1,11,2012-06-22,26407.67,False
1555,1,11,2012-06-29,44553.45,False
1690,1,12,2012-05-04,12338.08,False
1691,1,12,2012-05-11,11420.63,False
1692,1,12,2012-05-18,10199.01,False
1693,1,12,2012-05-25,12748.13,False
1694,1,12,2012-06-01,11542.81,False
1695,1,12,2012-06-08,10742.68,False
1696,1,12,2012-06-15,11177.52,False
1697,1,12,2012-06-22,9606.33,False
1698,1,12,2012-06-29,11816.35,False
1833,1,13,2012-05-04,43561.17,False
1834,1,13,2012-05-11,38895.18,False
1835,1,13,2012-05-18,37857.88,False
1836,1,13,2012-05-25,38541.76,False
1837,1,13,2012-06-01,41462.8,False
1838,1,13,2012-06-08,42304.47,False
1839,1,13,2012-06-15,39024.74,False
1840,1,13,2012-06-22,38945.0,False
1841,1,13,2012-06-29,40099.49,False
1976,1,14,2012-05-04,16193.63,False
1977,1,14,2012-05-11,15537.79,False
1978,1,14,2012-05-18,16326.55,False
1979,1,14,2012-05-25,14186.59,False
1980,1,14,2012-06-01,14903.87,False
1981,1,14,2012-06-08,12858.85,False
1982,1,14,2012-06-15,14117.36,False
1983,1,14,2012-06-22,13158.38,False
1984,1,14,2012-06-29,16958.84,False
2119,1,16,2012-05-04,43970.7,False
2120,1,16,2012-05-11,38885.33,False
2121,1,16,2012-05-18,37505.0,False
2122,1,16,2012-05-25,42922.55,False
