,Store,Dept,Date,Weekly_Sales,IsHoliday
56,1,1,2011-03-04,20327.61,False
57,1,1,2011-03-11,21280.4,False
58,1,1,2011-03-18,20334.23,False
59,1,1,2011-03-25,20881.1,False
60,1,1,2011-04-01,20398.09,False
61,1,1,2011-04-08,23873.79,False
62,1,1,2011-04-15,28762.37,False
63,1,1,2011-04-22,50510.31,False
64,1,1,2011-04-29,41512.39,False
199,1,2,2011-03-04,53035.54,False
200,1,2,2011-03-11,48465.72,False
201,1,2,2011-03-18,45222.3,False
202,1,2,2011-03-25,44293.54,False
203,1,2,2011-04-01,46991.58,False
204,1,2,2011-04-08,48501.79,False
205,1,2,2011-04-15,44464.74,False
206,1,2,2011-04-22,46544.56,False
207,1,2,2011-04-29,43682.41,False
342,1,3,2011-03-04,11039.12,False
343,1,3,2011-03-11,10689.97,False
344,1,3,2011-03-18,8148.69,False
345,1,3,2011-03-25,9049.02,False
346,1,3,2011-04-01,8734.19,False
347,1,3,2011-04-08,10417.33,False
348,1,3,2011-04-15,8212.97,False
349,1,3,2011-04-22,8468.72,False
350,1,3,2011-04-29,8653.62,False
485,1,4,2011-03-04,37943.96,False
486,1,4,2011-03-11,35229.12,False
487,1,4,2011-03-18,34863.03,False
488,1,4,2011-03-25,34813.12,False
489,1,4,2011-04-01,34451.9,False
490,1,4,2011-04-08,36514.43,False
491,1,4,2011-04-15,33466.89,False
492,1,4,2011-04-22,35132.7,False
493,1,4,2011-04-29,34528.56,False
628,1,5,2011-03-04,28902.37,False
629,1,5,2011-03-11,23704.37,False
630,1,5,2011-03-18,22685.69,False
631,1,5,2011-03-25,18719.22,False
632,1,5,2011-04-01,23598.55,False
633,1,5,2011-04-08,22393.09,False
634,1,5,2011-04-15,22719.82,False
635,1,5,2011-04-22,21786.16,False
636,1,5,2011-04-29,17503.28,False
771,1,6,2011-03-04,3882.86,False
772,1,6,2011-03-11,3928.8,False
773,1,6,2011-03-18,2889.22,False
774,1,6,2011-03-25,4508.3,False
775,1,6,2011-04-01,3249.27,False
776,1,6,2011-04-08,3340.31,False
777,1,6,2011-04-15,3798.07,False
778,1,6,2011-04-22,2995.07,False
779,1,6,2011-04-29,4298.02,False
914,1,7,2011-03-04,19607.4,False
915,1,7,2011-03-11,20304.74,False
916,1,7,2011-03-18,22751.59,False
917,1,7,2011-03-25,19958.0,False
918,1,7,2011-04-01,20144.71,False
919,1,7,2011-04-08,21617.85,False
920,1,7,2011-04-15,19955.07,False
921,1,7,2011-04-22,24606.39,False
922,1,7,2011-04-29,22934.42,False
1057,1,8,2011-03-04,36369.58,False
1058,1,8,2011-03-11,34415.39,False
1059,1,8,2011-03-18,33301.63,False
1060,1,8,2011-03-25,32558.92,False
1061,1,8,2011-04-01,35319.05,False
1062,1,8,2011-04-08,34442.29,False
1063,1,8,2011-04-15,32224.01,False
1064,1,8,2011-04-22,32832.06,False
1065,1,8,2011-04-29,32827.42,False
1200,1,9,2011-03-04,27078.81,False
1201,1,9,2011-03-11,27860.95,False
1202,1,9,2011-03-18,33823.26,False
1203,1,9,2011-03-25,37050.06,False
1204,1,9,2011-04-01,28388.25,False
1205,1,9,2011-04-08,27560.77,False
1206,1,9,2011-04-15,28475.86,False
1207,1,9,2011-04-22,28657.31,False
1208,1,9,2011-04-29,23567.09,False
1343,1,10,2011-03-04,36246.52,False
1344,1,10,2011-03-11,31563.06,False
1345,1,10,2011-03-18,33739.79,False
1346,1,10,2011-03-25,42875.11,False
1347,1,10,2011-04-01,30863.93,False
1348,1,10,2011-04-08,32563.54,False
1349,1,10,2011-04-15,32040.83,False
1350,1,10,2011-04-22,34446.35,False
1351,1,10,2011-04-29,28188.01,False
1486,1,11,2011-03-04,20777.31,False
1487,1,11,2011-03-11,18717.53,False
1488,1,11,2011-03-18,21683.76,False
1489,1,11,2011-03-25,26730.15,False
1490,1,11,2011-04-01,22642.55,False
1491,1,11,2011-04-08,24591.84,False
1492,1,11,2011-04-15,25526.24,False
1493,1,11,2011-04-22,25703.25,False
1494,1,11,2011-04-29,24975.38,False
1629,1,12,2011-03-04,12618.52,False
1630,1,12,2011-03-11,11762.08,False
1631,1,12,2011-03-18,15560.17,False
1632,1,12,2011-03-25,12222.77,False
1633,1,12,2011-04-01,11871.94,False
1634,1,12,2011-04-08,12543.92,False
1635,1,12,2011-04-15,12822.2,False
1636,1,12,2011-04-22,13447.09,False
1637,1,12,2011-04-29,9874.94,False
1772,1,13,2011-03-04,42277.37,False
1773,1,13,2011-03-11,37577.97,False
1774,1,13,2011-03-18,36930.48,False
1775,1,13,2011-03-25,36745.46,False
1776,1,13,2011-04-01,37630.13,False
1777,1,13,2011-04-08,38076.86,False
1778,1,13,2011-04-15,35263.45,False
1779,1,13,2011-04-22,35464.71,False
1780,1,13,2011-04-29,34311.69,False
1915,1,14,2011-03-04,17281.12,False
1916,1,14,2011-03-11,14490.48,False
1917,1,14,2011-03-18,14287.28,False
1918,1,14,2011-03-25,14006.9,False
1919,1,14,2011-04-01,13136.1,False
1920,1,14,2011-04-08,14454.19,False
1921,1,14,2011-04-15,12151.4,False
1922,1,14,2011-04-22,12478.19,False
1923,1,14,2011-04-29,13429.28,False
2058,1,16,2011-03-04,28635.06,False
2059,1,16,2011-03-11,27388.55,False
2060,1,16,2011-03-18,42549.38,False
2061,1,16,2011-03-25,48217.85,False
2062,1,16,2011-04-01,42679.11,False
2063,1,16,2011-04-08,49433.2,False
2064,1,16,2011-04-15,48643.77,False
2065,1,16,2011-04-22,48934.3,False
2066,1,16,2011-04-29,40280.3,False
2201,1,17,2011-03-04,12994.45,False
2202,1,17,2011-03-11,9728.55,False
2203,1,17,2011-03-18,10143.22,False
2204,1,17,2011-03-25,9004.62,False
2205,1,17,2011-04-01,9742.29,False
2206,1,17,2011-04-08,8618.59,False
2207,1,17,2011-04-15,7921.95,False
2208,1,17,2011-04-22,9084.67,False
2209,1,17,2011-04-29,7795.43,False
2331,1,18,2011-03-04,2.75,False
2332,1,18,2011-03-11,3.1,False
2333,1,18,2011-03-18,296.03,False
2334,1,18,2011-03-25,701.98,False
2335,1,18,2011-04-01,1550.18,False
2336,1,18,2011-04-08,2133.87,False
2337,1,18,2011-04-15,4304.0,False
2338,1,18,2011-04-22,13367.64,False
2339,1,18,2011-04-29,7988.42,False
2457,1,19,2011-03-04,1499.48,False
2458,1,19,2011-03-11,1572.3,False
2459,1,19,2011-03-18,1493.99,False
2460,1,19,2011-03-25,1233.35,False
2461,1,19,2011-04-01,1105.65,False
2462,1,19,2011-04-08,1875.03,False
