,Store,Dept,Date,Weekly_Sales,IsHoliday
82,1,1,2011-09-02,15277.27,False
83,1,1,2011-09-09,17746.68,True
84,1,1,2011-09-16,18535.48,False
85,1,1,2011-09-23,17859.3,False
86,1,1,2011-09-30,18337.68,False
87,1,1,2011-10-07,20797.58,False
88,1,1,2011-10-14,23077.55,False
89,1,1,2011-10-21,23351.8,False
90,1,1,2011-10-28,31579.9,False
225,1,2,2011-09-02,49419.75,False
226,1,2,2011-09-09,43315.85,True
227,1,2,2011-09-16,42963.96,False
228,1,2,2011-09-23,43390.94,False
229,1,2,2011-09-30,46045.09,False
230,1,2,2011-10-07,49880.69,False
231,1,2,2011-10-14,43306.38,False
232,1,2,2011-10-21,42487.67,False
233,1,2,2011-10-28,41682.4,False
368,1,3,2011-09-02,19604.47,False
369,1,3,2011-09-09,12778.28,True
370,1,3,2011-09-16,10412.88,False
371,1,3,2011-09-23,9755.56,False
372,1,3,2011-09-30,10434.83,False
373,1,3,2011-10-07,9977.96,False
374,1,3,2011-10-14,9870.22,False
375,1,3,2011-10-21,10136.78,False
376,1,3,2011-10-28,9421.2,False
511,1,4,2011-09-02,36589.07,False
512,1,4,2011-09-09,35105.96,True
513,1,4,2011-09-16,34108.12,False
514,1,4,2011-09-23,32655.07,False
515,1,4,2011-09-30,32830.81,False
516,1,4,2011-10-07,37397.63,False
517,1,4,2011-10-14,35000.3,False
518,1,4,2011-10-21,33954.55,False
519,1,4,2011-10-28,34247.26,False
654,1,5,2011-09-02,20432.91,False
655,1,5,2011-09-09,19075.78,True
656,1,5,2011-09-16,19386.23,False
657,1,5,2011-09-23,20562.37,False
658,1,5,2011-09-30,16385.37,False
659,1,5,2011-10-07,30352.06,False
660,1,5,2011-10-14,22917.89,False
661,1,5,2011-10-21,32700.34,False
662,1,5,2011-10-28,26391.79,False
797,1,6,2011-09-02,3461.79,False
798,1,6,2011-09-09,6147.43,True
799,1,6,2011-09-16,3806.5,False
800,1,6,2011-09-23,4718.28,False
801,1,6,2011-09-30,3489.24,False
802,1,6,2011-10-07,4733.74,False
803,1,6,2011-10-14,4248.69,False
804,1,6,2011-10-21,5111.85,False
805,1,6,2011-10-28,6227.43,False
940,1,7,2011-09-02,14564.8,False
941,1,7,2011-09-09,13370.82,True
942,1,7,2011-09-16,14948.27,False
943,1,7,2011-09-23,14836.91,False
944,1,7,2011-09-30,13908.4,False
945,1,7,2011-10-07,12758.28,False
946,1,7,2011-10-14,13900.54,False
947,1,7,2011-10-21,24664.06,False
948,1,7,2011-10-28,26827.51,False
1083,1,8,2011-09-02,34963.68,False
1084,1,8,2011-09-09,34246.67,True
1085,1,8,2011-09-16,35018.8,False
1086,1,8,2011-09-23,33157.11,False
1087,1,8,2011-09-30,34173.84,False
1088,1,8,2011-10-07,36759.96,False
1089,1,8,2011-10-14,34131.81,False
1090,1,8,2011-10-21,32631.25,False
1091,1,8,2011-10-28,34429.75,False
1226,1,9,2011-09-02,38656.8,False
1227,1,9,2011-09-09,35450.71,True
1228,1,9,2011-09-16,27333.83,False
1229,1,9,2011-09-23,30988.32,False
1230,1,9,2011-09-30,44042.93,False
1231,1,9,2011-10-07,41729.36,False
1232,1,9,2011-10-14,32636.66,False
1233,1,9,2011-10-21,31062.86,False
1234,1,9,2011-10-28,34679.39,False
1369,1,10,2011-09-02,30606.87,False
1370,1,10,2011-09-09,31416.52,True
1371,1,10,2011-09-16,32147.59,False
1372,1,10,2011-09-23,27300.29,False
1373,1,10,2011-09-30,31036.88,False
1374,1,10,2011-10-07,31083.31,False
1375,1,10,2011-10-14,30888.69,False
1376,1,10,2011-10-21,28827.99,False
1377,1,10,2011-10-28,28349.42,False
1512,1,11,2011-09-02,20626.08,False
1513,1,11,2011-09-09,20208.4,True
1514,1,11,2011-09-16,19000.25,False
1515,1,11,2011-09-23,17228.02,False
1516,1,11,2011-09-30,18094.24,False
1517,1,11,2011-10-07,21646.32,False
1518,1,11,2011-10-14,19513.63,False
1519,1,11,2011-10-21,22029.81,False
1520,1,11,2011-10-28,20051.11,False
1655,1,12,2011-09-02,10325.4,False
1656,1,12,2011-09-09,10927.54,True
1657,1,12,2011-09-16,10392.19,False
1658,1,12,2011-09-23,9501.54,False
1659,1,12,2011-09-30,7457.24,False
1660,1,12,2011-10-07,11240.29,False
1661,1,12,2011-10-14,12223.55,False
1662,1,12,2011-10-21,11380.28,False
1663,1,12,2011-10-28,10418.23,False
1798,1,13,2011-09-02,42713.81,False
1799,1,13,2011-09-09,38045.63,True
1800,1,13,2011-09-16,38382.65,False
1801,1,13,2011-09-23,37645.66,False
1802,1,13,2011-09-30,37928.28,False
1803,1,13,2011-10-07,41151.28,False
1804,1,13,2011-10-14,37531.43,False
1805,1,13,2011-10-21,38272.21,False
1806,1,13,2011-10-28,37117.02,False
1941,1,14,2011-09-02,12708.18,False
1942,1,14,2011-09-09,13550.53,True
1943,1,14,2011-09-16,13166.76,False
1944,1,14,2011-09-23,11558.22,False
1945,1,14,2011-09-30,14027.83,False
1946,1,14,2011-10-07,12766.52,False
1947,1,14,2011-10-14,13440.89,False
1948,1,14,2011-10-21,12476.8,False
1949,1,14,2011-10-28,13031.03,False
2084,1,16,2011-09-02,15288.9,False
2085,1,16,2011-09-09,17838.29,True
2086,1,16,2011-09-16,13499.43,False
2087,1,16,2011-09-23,10893.91,False
2088,1,16,2011-09-30,11831.25,False
2089,1,16,2011-10-07,14309.01,False
2090,1,16,2011-10-14,10030.59,False
2091,1,16,2011-10-21,10366.98,False
2092,1,16,2011-10-28,7616.55,False
2227,1,17,2011-09-02,7577.4,False
2228,1,17,2011-09-09,8209.44,True
2229,1,17,2011-09-16,7208.1,False
2230,1,17,2011-09-23,7063.24,False
2231,1,17,2011-09-30,7348.08,False
2232,1,17,2011-10-07,8149.44,False
2233,1,17,2011-10-14,8241.42,False
2234,1,17,2011-10-21,7547.77,False
2235,1,17,2011-10-28,7407.41,False
2349,1,18,2011-09-02,83.64,False
2350,1,18,2011-09-09,149.24,True
2351,1,18,2011-09-16,868.86,False
2352,1,18,2011-09-23,2540.81,False
2353,1,18,2011-09-30,3279.04,False
2354,1,18,2011-10-07,4959.46,False
2355,1,18,2011-10-14,5758.87,False
2356,1,18,2011-10-21,7304.78,False
2357,1,18,2011-10-28,16545.45,False
2483,1,19,2011-09-02,880.55,False
2484,1,19,2011-09-09,990.6,True
2485,1,19,2011-09-16,1071.02,False
2486,1,19,2011-09-23,992.99,False
2487,1,19,2011-09-30,1003.0,False
2488,1,19,2011-10-07,984.0,False
2489,1,19,2011-10-14,1286.47,False
2490,1,19,2011-10-21,911.38,False
2491,1,19,2011-10-28,1061.44,False
2626,1,20,2011-09-02,4333.53,False
2627,1,20,2011-09-09,3991.02,True
2628,1,20,2011-09-16,3427.12,False
