,Store,Dept,Date,Weekly_Sales,IsHoliday
135,1,1,2012-09-07,18322.37,True
136,1,1,2012-09-14,19616.22,False
137,1,1,2012-09-21,19251.5,False
138,1,1,2012-09-28,18947.81,False
139,1,1,2012-10-05,21904.47,False
140,1,1,2012-10-12,22764.01,False
141,1,1,2012-10-19,24185.27,False
142,1,1,2012-10-26,27390.81,False
278,1,2,2012-09-07,47344.5,True
279,1,2,2012-09-14,44493.61,False
280,1,2,2012-09-21,43541.07,False
281,1,2,2012-09-28,45784.76,False
282,1,2,2012-10-05,48577.08,False
283,1,2,2012-10-12,42112.67,False
284,1,2,2012-10-19,42354.72,False
285,1,2,2012-10-26,43134.88,False
421,1,3,2012-09-07,18368.51,True
422,1,3,2012-09-14,14288.22,False
423,1,3,2012-09-21,13403.63,False
424,1,3,2012-09-28,13085.95,False
425,1,3,2012-10-05,11676.98,False
426,1,3,2012-10-12,10487.17,False
427,1,3,2012-10-19,8548.87,False
428,1,3,2012-10-26,9350.9,False
564,1,4,2012-09-07,39549.27,True
565,1,4,2012-09-14,35044.06,False
566,1,4,2012-09-21,34507.34,False
567,1,4,2012-09-28,34647.33,False
568,1,4,2012-10-05,39311.93,False
569,1,4,2012-10-12,35446.18,False
570,1,4,2012-10-19,35549.19,False
571,1,4,2012-10-26,36292.6,False
707,1,5,2012-09-07,18236.15,True
708,1,5,2012-09-14,19369.52,False
709,1,5,2012-09-21,25798.78,False
710,1,5,2012-09-28,22560.39,False
711,1,5,2012-10-05,25508.81,False
712,1,5,2012-10-12,20920.03,False
713,1,5,2012-10-19,20413.83,False
714,1,5,2012-10-26,25846.94,False
850,1,6,2012-09-07,2576.64,True
851,1,6,2012-09-14,3073.31,False
852,1,6,2012-09-21,4159.51,False
853,1,6,2012-09-28,3168.68,False
854,1,6,2012-10-05,3843.29,False
855,1,6,2012-10-12,3788.59,False
856,1,6,2012-10-19,3496.69,False
857,1,6,2012-10-26,4032.5,False
993,1,7,2012-09-07,16941.42,True
994,1,7,2012-09-14,15525.82,False
995,1,7,2012-09-21,22542.44,False
996,1,7,2012-09-28,22343.24,False
997,1,7,2012-10-05,22071.39,False
998,1,7,2012-10-12,20212.71,False
999,1,7,2012-10-19,21937.45,False
1000,1,7,2012-10-26,21449.85,False
1136,1,8,2012-09-07,38666.21,True
1137,1,8,2012-09-14,37346.83,False
1138,1,8,2012-09-21,36404.63,False
1139,1,8,2012-09-28,37254.84,False
1140,1,8,2012-10-05,42663.75,False
1141,1,8,2012-10-12,37248.47,False
1142,1,8,2012-10-19,38668.75,False
1143,1,8,2012-10-26,39255.35,False
1279,1,9,2012-09-07,42920.95,True
1280,1,9,2012-09-14,31882.98,False
1281,1,9,2012-09-21,33889.72,False
1282,1,9,2012-09-28,40712.85,False
1283,1,9,2012-10-05,40439.53,False
1284,1,9,2012-10-12,37126.23,False
1285,1,9,2012-10-19,36690.81,False
1286,1,9,2012-10-26,41040.84,False
1422,1,10,2012-09-07,30851.75,True
1423,1,10,2012-09-14,31705.09,False
1424,1,10,2012-09-21,29203.63,False
1425,1,10,2012-09-28,27205.4,False
1426,1,10,2012-10-05,27822.4,False
1427,1,10,2012-10-12,27803.78,False
1428,1,10,2012-10-19,29442.38,False
1429,1,10,2012-10-26,26285.27,False
1565,1,11,2012-09-07,23338.99,True
1566,1,11,2012-09-14,17027.47,False
1567,1,11,2012-09-21,18161.43,False
1568,1,11,2012-09-28,17242.78,False
1569,1,11,2012-10-05,22374.18,False
1570,1,11,2012-10-12,21857.09,False
1571,1,11,2012-10-19,18259.82,False
1572,1,11,2012-10-26,22399.83,False
1708,1,12,2012-09-07,12566.45,True
1709,1,12,2012-09-14,10484.08,False
1710,1,12,2012-09-21,9448.14,False
1711,1,12,2012-09-28,11013.77,False
1712,1,12,2012-10-05,10037.09,False
1713,1,12,2012-10-12,8983.82,False
1714,1,12,2012-10-19,10830.48,False
1715,1,12,2012-10-26,8658.41,False
1851,1,13,2012-09-07,44373.19,True
1852,1,13,2012-09-14,38759.47,False
1853,1,13,2012-09-21,39746.87,False
1854,1,13,2012-09-28,39793.41,False
1855,1,13,2012-10-05,43746.89,False
1856,1,13,2012-10-12,38015.36,False
1857,1,13,2012-10-19,38341.15,False
1858,1,13,2012-10-26,38512.48,False
1994,1,14,2012-09-07,13711.08,True
1995,1,14,2012-09-14,11596.1,False
1996,1,14,2012-09-21,12193.8,False
1997,1,14,2012-09-28,12037.66,False
1998,1,14,2012-10-05,14381.21,False
1999,1,14,2012-10-12,11450.64,False
2000,1,14,2012-10-19,12035.51,False
2001,1,14,2012-10-26,11150.0,False
2137,1,16,2012-09-07,20473.94,True
2138,1,16,2012-09-14,14646.37,False
2139,1,16,2012-09-21,13415.51,False
2140,1,16,2012-09-28,14734.64,False
2141,1,16,2012-10-05,11320.41,False
2142,1,16,2012-10-12,10525.66,False
2143,1,16,2012-10-19,9518.43,False
2144,1,16,2012-10-26,9934.63,False
2280,1,17,2012-09-07,8712.44,True
2281,1,17,2012-09-14,7075.73,False
2282,1,17,2012-09-21,7143.59,False
2283,1,17,2012-09-28,7155.75,False
2284,1,17,2012-10-05,9040.52,False
2285,1,17,2012-10-12,7908.36,False
2286,1,17,2012-10-19,7640.43,False
2287,1,17,2012-10-26,7640.92,False
2393,1,18,2012-09-07,4.97,True
2394,1,18,2012-09-14,649.09,False
2395,1,18,2012-09-21,3361.0,False
2396,1,18,2012-09-28,4867.7,False
2397,1,18,2012-10-05,7291.46,False
2398,1,18,2012-10-12,8171.79,False
2399,1,18,2012-10-19,10569.09,False
2400,1,18,2012-10-26,17934.28,False
2536,1,19,2012-09-07,1225.7,True
2537,1,19,2012-09-14,733.78,False
2538,1,19,2012-09-21,1015.46,False
2539,1,19,2012-09-28,1385.85,False
2540,1,19,2012-10-05,1192.58,False
2541,1,19,2012-10-12,1415.68,False
2542,1,19,2012-10-19,1247.56,False
2543,1,19,2012-10-26,1640.81,False
2679,1,20,2012-09-07,4342.34,True
2680,1,20,2012-09-14,3548.56,False
2681,1,20,2012-09-21,3532.28,False
2682,1,20,2012-09-28,3200.54,False
2683,1,20,2012-10-05,4184.73,False
2684,1,20,2012-10-12,3126.49,False
2685,1,20,2012-10-19,3640.07,False
2686,1,20,2012-10-26,2680.53,False
2822,1,21,2012-09-07,8258.47,True
2823,1,21,2012-09-14,8013.36,False
2824,1,21,2012-09-21,7085.79,False
2825,1,21,2012-09-28,7737.13,False
2826,1,21,2012-10-05,7790.01,False
2827,1,21,2012-10-12,7020.8,False
2828,1,21,2012-10-19,7614.71,False
2829,1,21,2012-10-26,8194.63,False
2965,1,22,2012-09-07,7669.83,True
2966,1,22,2012-09-14,5462.99,False
2967,1,22,2012-09-21,5663.49,False
2968,1,22,2012-09-28,6892.92,False
2969,1,22,2012-10-05,7821.14,False
2970,1,22,2012-10-12,8966.16,False
2971,1,22,2012-10-19,8236.39,False
2972,1,22,2012-10-26,8236.88,False
3108,1,23,2012-09-07,17406.85,True
3109,1,23,2012-09-14,14172.52,False
3110,1,23,2012-09-21,15702.02,False
3111,1,23,2012-09-28,14731.92,False
3112,1,23,2012-10-05,19478.62,False
3113,1,23,2012-10-12,21024.28,False
3114,1,23,2012-10-19,17191.96,False
3115,1,23,2012-10-26,21460.58,False
3251,1,24,2012-09-07,5138.69,True
